time,open,high,low,close,Volume,Volume MA
1679904000,0.1426,0.1433,0.1421,0.1432,393057,349497.45
1679907600,0.1432,0.1437,0.1425,0.1432,170873,340821.95
1679911200,0.1432,0.1437,0.1429,0.1434,94942,321067.35
1679914800,0.1434,0.144,0.1429,0.1439,305616,319160.45
1679918400,0.1437,0.1437,0.142,0.1422,552450,340354.8
1679922000,0.142,0.1423,0.1405,0.1409,788581,360880.55
1679925600,0.1409,0.1411,0.1367,0.1367,1180422,406485.65
1679929200,0.1367,0.1368,0.133,0.1357,1824496,483925.95
1679932800,0.1356,0.1377,0.1352,0.1355,561325,489817.1
1679936400,0.1354,0.1365,0.1352,0.1356,771594,524930.4
1679940000,0.1358,0.1369,0.1356,0.1358,151601,515631.6
1679943600,0.1358,0.1362,0.1344,0.1345,265203,513721.55
1679947200,0.1345,0.1352,0.1339,0.1345,522839,506076.35
1679950800,0.1345,0.1357,0.1344,0.1351,161163,495159.15
1679954400,0.1351,0.1354,0.1343,0.1349,286443,499059.35
1679958000,0.1348,0.1355,0.1347,0.1352,108999,493787.55
1679961600,0.1353,0.1359,0.1344,0.1345,225536,493749.15
1679965200,0.1345,0.1358,0.1339,0.1346,228239,485453.75
1679968800,0.1346,0.1349,0.1333,0.1336,114071,473573
1679972400,0.1336,0.1342,0.1334,0.1339,291880,449966.5
1679976000,0.1339,0.1349,0.1339,0.1349,127741,436700.7
1679979600,0.1349,0.136,0.1347,0.136,185628,437438.45
1679983200,0.136,0.1366,0.1355,0.1357,122547,438818.7
1679986800,0.1359,0.1359,0.1347,0.1347,320813,439578.55
1679990400,0.1346,0.1349,0.1339,0.1346,192111,421561.6
1679994000,0.1345,0.1345,0.1331,0.1335,155637,389914.4
1679997600,0.1334,0.1341,0.1323,0.1329,294506,345618.6
1680001200,0.1331,0.1355,0.1331,0.1353,193057,264046.65
1680004800,0.1352,0.1356,0.134,0.1347,126291,242294.95
1680008400,0.1347,0.1349,0.1336,0.1346,232935,215362
1680012000,0.1347,0.1354,0.1345,0.1353,88797,212221.8
1680015600,0.1352,0.1367,0.1352,0.1357,177210,207822.15
1680019200,0.1358,0.1361,0.1346,0.1354,99968,186678.6
1680022800,0.1355,0.1355,0.1343,0.1351,89029,183071.9
1680026400,0.1349,0.1371,0.1346,0.1369,108455,174172.5
1680030000,0.1369,0.1392,0.1368,0.1389,711132,204279.15
1680033600,0.1389,0.1394,0.1377,0.1381,171136,201559.15
1680037200,0.138,0.139,0.1377,0.1381,215527,200923.55
1680040800,0.1379,0.138,0.1369,0.1372,274428,208941.4
1680044400,0.1375,0.1385,0.1375,0.1379,116538,200174.3
