time,open,high,low,close,Volume,Volume MA
1682971200,0.002584,0.002595,0.002572,0.002579,22280893,29957171.6
1682974800,0.002579,0.002605,0.002578,0.002595,11590853,26688581.25
1682978400,0.002596,0.002616,0.002589,0.002605,21855397,26891816.75
1682982000,0.002605,0.002614,0.002605,0.002608,15747664,26866387.6
1682985600,0.002607,0.002613,0.002598,0.002602,15578579,26793807.6
1682989200,0.002603,0.002605,0.002584,0.002589,13501683,26098768.2
1682992800,0.00259,0.002599,0.002585,0.002598,10357117,25508980.55
1682996400,0.002597,0.002609,0.002593,0.002609,16697112,25052390.45
1683000000,0.002608,0.002609,0.002591,0.002592,10346490,24198448.1
1683003600,0.002592,0.002598,0.00259,0.002595,9556444,23846190.45
1683007200,0.002596,0.002604,0.002592,0.002603,17527075,22757388.95
1683010800,0.002604,0.002636,0.002602,0.002621,36220568,23497231.4
1683014400,0.002622,0.002625,0.002616,0.002617,22430360,23823856.5
1683018000,0.002618,0.00262,0.002601,0.002604,18331492,23050208.85
1683021600,0.002603,0.002609,0.002597,0.0026,27601483,23018345.85
1683025200,0.002601,0.002615,0.0026,0.002615,10477120,21864704
1683028800,0.002614,0.002622,0.0026,0.002607,26680148,20728666.85
1683032400,0.002607,0.002611,0.002579,0.002585,28369585,20960456
1683036000,0.002584,0.00263,0.002573,0.002613,69237052,22954033.85
1683039600,0.002612,0.002629,0.002604,0.002611,37600014,22099356.45
1683043200,0.002612,0.002615,0.002603,0.002604,25413561,22255989.85
1683046800,0.002605,0.002614,0.002599,0.002609,21159630,22734428.7
1683050400,0.002609,0.002623,0.002603,0.002614,29827838,23133050.75
1683054000,0.002614,0.002627,0.002608,0.002618,31159873,23903661.2
1683057600,0.002618,0.002624,0.002612,0.002614,17062844,23977874.45
1683061200,0.002614,0.002616,0.002606,0.002614,8163505,23710965.55
1683064800,0.002613,0.002625,0.002613,0.002618,17032182,24044718.8
1683068400,0.002618,0.002627,0.00261,0.002614,16606763,24040201.35
1683072000,0.002614,0.002619,0.00258,0.002582,32154429,25130598.3
1683075600,0.002581,0.002595,0.002577,0.002586,15462492,25425900.7
1683079200,0.002585,0.002586,0.002566,0.002581,12554562,25177275.05
1683082800,0.002579,0.002585,0.00257,0.002583,4863735,23609433.4
1683086400,0.002583,0.002585,0.002576,0.002581,7593266,22867578.7
1683090000,0.002581,0.002585,0.002574,0.002576,18479665,22874987.35
1683093600,0.002574,0.002595,0.002572,0.002588,20572183,22523522.35
1683097200,0.002589,0.002599,0.002587,0.002587,20153488,23007340.75
1683100800,0.002589,0.002601,0.002581,0.002598,17890605,22567863.6
1683104400,0.002596,0.002598,0.002588,0.002596,15501140,21924441.35
1683108000,0.002595,0.002599,0.002588,0.002588,17920535,19358615.5
1683111600,0.002588,0.002597,0.002565,0.002569,33463161,19151772.85
1683115200,0.002568,0.002573,0.002532,0.002537,68243018,21293245.7
1683118800,0.002535,0.002554,0.002532,0.00255,42931301,22381829.25
1683122400,0.002551,0.002551,0.002529,0.002531,24898062,22135340.45
1683126000,0.002531,0.002532,0.002521,0.002528,22821929,21718443.25
1683129600,0.002527,0.002558,0.002521,0.002558,62255309,23978066.5
1683133200,0.002558,0.00257,0.002539,0.002552,34357449,25287763.7
1683136800,0.002553,0.002603,0.002548,0.002593,85311463,28701727.75
1683140400,0.002594,0.002607,0.002575,0.002582,44704875,30106633.35
1683144000,0.002582,0.002605,0.00258,0.002603,31861597,30091991.75
1683147600,0.002604,0.002651,0.002603,0.002639,53462804,31992007.35
1683151200,0.00264,0.002683,0.00264,0.002676,59250931,34326825.8
1683154800,0.002676,0.002683,0.002663,0.00267,38800247,36023651.4
1683158400,0.00267,0.00268,0.00265,0.002667,63320960,38810036.1
1683162000,0.002668,0.002672,0.002656,0.002672,21849338,38978519.75
1683165600,0.002672,0.002678,0.002661,0.002668,17737858,38836803.5
1683169200,0.002669,0.002669,0.002652,0.002664,11568233,38407540.75
1683172800,0.002665,0.002668,0.002658,0.002664,11149287,38070474.85
1683176400,0.002663,0.002669,0.002652,0.002667,28033006,38697068.15
1683180000,0.002668,0.002669,0.002643,0.002655,17525148,38677298.8
1683183600,0.002656,0.002657,0.00263,0.002633,32063444,38607312.95
1683187200,0.002636,0.002642,0.002624,0.002642,26570788,36523701.45
1683190800,0.002642,0.002644,0.002633,0.00264,15610898,35157681.3
1683194400,0.00264,0.002654,0.002633,0.002646,23728603,35099208.35
1683198000,0.002646,0.00265,0.002633,0.002635,13985880,34657405.9
1683201600,0.002635,0.00264,0.002615,0.002618,20459567,32567618.8
1683205200,0.002618,0.002623,0.002587,0.0026,30897526,32394622.65
1683208800,0.0026,0.002605,0.002593,0.002595,20143812,29136240.1
1683212400,0.002594,0.002605,0.002586,0.002588,10036718,27402832.25
1683216000,0.00259,0.002601,0.00258,0.002595,16603664,26639935.6
1683219600,0.002595,0.002597,0.002583,0.002587,17684314,24851011.1
1683223200,0.002586,0.002592,0.002579,0.002582,11618608,22469394.95
1683226800,0.002581,0.002586,0.002574,0.002582,20389047,21548834.95
1683230400,0.002581,0.002589,0.002579,0.002588,14809931,19123283.5
1683234000,0.002588,0.002592,0.002578,0.002583,9437405,18502686.85
1683237600,0.002583,0.002586,0.002577,0.002579,13603244,18295956.15
1683241200,0.002579,0.00259,0.002578,0.00259,10889063,18261997.65
1683244800,0.002588,0.002594,0.002585,0.002592,16511535,18530110.05
1683248400,0.002591,0.002609,0.002571,0.002602,29642748,18610597.15
1683252000,0.002602,0.002614,0.002592,0.002595,14452605,18456970
1683255600,0.002599,0.002602,0.002583,0.002586,9701405,17338868.05
1683259200,0.002585,0.002593,0.002583,0.002593,7749561,16397806.7
1683262800,0.002592,0.002593,0.002583,0.002584,8997182,16067120.9
1683266400,0.002586,0.002587,0.002578,0.002579,5312104,15146295.95
1683270000,0.002579,0.002589,0.002572,0.002578,15751754,15234589.65
1683273600,0.002575,0.002582,0.002569,0.002571,15518217,14987522.15
1683277200,0.00257,0.00258,0.002569,0.002576,21908632,14538077.45
1683280800,0.002575,0.002587,0.002575,0.002587,15319614,14296867.55
1683284400,0.002587,0.002593,0.002582,0.002589,20081741,14799118.7
1683288000,0.002589,0.002594,0.00255,0.002568,45760306,16256950.8
1683291600,0.002567,0.002596,0.002562,0.002595,33472541,17046362.15
1683295200,0.002595,0.00262,0.002595,0.002611,34408041,18185833.8
1683298800,0.002611,0.002628,0.002606,0.002628,41499720,19241367.45
1683302400,0.002627,0.002655,0.002625,0.00265,49810287,20991385.25
1683306000,0.00265,0.002655,0.002626,0.002632,37455186,22392274.3
1683309600,0.002632,0.002639,0.002609,0.002619,23681299,22896177.05
1683313200,0.002619,0.002626,0.002612,0.002626,41859139,24444680.85
1683316800,0.002628,0.002629,0.002619,0.002623,15556704,24396939.3
1683320400,0.002624,0.002639,0.002623,0.002629,39707756,24900189.7
1683324000,0.002629,0.002642,0.002629,0.002637,16415825,24998350.7
1683327600,0.002637,0.002643,0.002628,0.002629,19320914,25479326.15
1683331200,0.00263,0.002652,0.002619,0.002636,31567960,26670246.1
1683334800,0.002637,0.00264,0.002603,0.002606,14723536,26956563.8
1683338400,0.002606,0.002606,0.002588,0.002593,32004126,28291164.9
1683342000,0.002593,0.002598,0.002585,0.002598,11177210,28062437.7
1683345600,0.002597,0.0026,0.002591,0.002594,21257773,28349415.5
1683349200,0.002597,0.002603,0.002584,0.00259,16002151,28054091.45
1683352800,0.00259,0.002594,0.002571,0.002576,23286128,28452417.15
1683356400,0.002575,0.002578,0.002564,0.00257,28077946,28852227.4
1683360000,0.00257,0.00257,0.00253,0.002556,41165935,28622508.85
1683363600,0.002556,0.002556,0.002542,0.002542,9890863,27443424.95
1683367200,0.002541,0.002554,0.002541,0.002543,15051748,26475610.3
1683370800,0.002543,0.002553,0.00254,0.002551,12645607,25032904.65
1683374400,0.002551,0.002551,0.002523,0.002535,19396455,23512213.05
1683378000,0.002533,0.002533,0.002503,0.002509,38971641,23588035.8
1683381600,0.002507,0.002507,0.002452,0.002483,138800723,29344007
1683385200,0.002483,0.002493,0.002453,0.002463,150041305,34753115.3
1683388800,0.002465,0.002468,0.002455,0.002462,41376868,36044123.5
1683392400,0.002461,0.002465,0.002454,0.002463,23656769,35241574.15
1683396000,0.002462,0.002482,0.002458,0.00248,39010172,36371291.5
1683399600,0.00248,0.002489,0.002473,0.002477,25716271,36691059.35
1683403200,0.002475,0.002478,0.002463,0.002464,13710495,35798186.1
1683406800,0.002464,0.00247,0.002452,0.002469,12331841,35678601.35
1683410400,0.002468,0.002468,0.002449,0.002452,12911794,34723984.75
1683414000,0.00245,0.002461,0.002449,0.002461,22758520,35303050.25
1683417600,0.002461,0.002467,0.002453,0.002465,28751968,35677760
1683421200,0.002464,0.002475,0.002446,0.002451,28169451,36286125
1683424800,0.002449,0.002451,0.002432,0.002434,15761086,35909872.9
1683428400,0.002434,0.002442,0.002431,0.002433,10655966,35038773.9
1683432000,0.002434,0.002438,0.002431,0.002437,7374153,33349184.8
1683435600,0.002437,0.002445,0.002435,0.002438,46595897,35184436.5
1683439200,0.00244,0.002449,0.002434,0.002449,23726680,35618183.1
1683442800,0.002449,0.002462,0.002449,0.002461,20743829,36023094.2
1683446400,0.002459,0.002465,0.002449,0.00245,14220873,35764315.1
1683450000,0.002452,0.002457,0.002437,0.002439,31570422,35394254.15
1683453600,0.002441,0.002444,0.002434,0.002444,13524704,29130453.2
1683457200,0.002444,0.002452,0.002434,0.002446,34508281,23353802
1683460800,0.002447,0.002451,0.002444,0.00245,15049955,22037456.35
1683464400,0.002449,0.002466,0.002449,0.002453,20784865,21893861.15
1683468000,0.002453,0.002469,0.002448,0.002464,24120552,21149380.15
1683471600,0.002463,0.002464,0.002446,0.002453,28810070,21304070.1
1683475200,0.002455,0.002459,0.002432,0.002448,30138890,22125489.85
